20/3/1971- ||special articles||4381766||The Economy: Current Situation and Policy Problems||For a proper understanding of the current economic situation and policy problems, it is essential to discuss the developments in the Indian economy over the last few years. Section I of this paper attempts to relate the present situation to preceding developments. The problem of full capacity utilisation in the modern industrial sector and the related problems in the fields of investment, agriculture and exports are discussed in Section II. Some aspects of policies related to these problems are indicated in Section III.||V. V. Bhatt
08/5/1971- ||------||4381955||Keeping Everybody Happy||-------------------------------------||
06/3/1971- ||business||4381698||Larger Issue Evaded||-------------------------------------||
13/11/1971- ||business||4382729||Perils of Smallness||-------------------------------------||
27/3/1971- ||special articles||4381805||India's Sacred Cattle: Theories and Empirical Findings||There can be no dispute about the need for introducing better techniques of cattle-stock adjustment than are now available to farmers and for bringing into the solution of this problem the same kind of scientific temper and organisational zeal as have recently been displayed in regard to family planning. At the same time, empirical findings show that no dramatic changes can be expected in regard to the holdings of cattle unless effective substitutes can be offered for the various goods and services which the cattle now provide directly and indirectly. In this context one must think not only of the milk and traction requirements which are now being met by cattle but the contribution they make to the fuel and fertiliser needs of millions of poor peasants. It is also important to emphasise that while surpluses of cattle might exist, such surpluses are likely to exist more in the smaller than in the larger farms. No drastic solutions, such as outright slaughter of the surpluses, can therefore be contemplated - even if they are otherwise rational - without paying heed to the distributional aspects of the problem.||K. N. Raj
13/3/1971- ||the fourth estate||4381736||The Din of Abroad||-------------------------------------||Nireekshak
1/1/1971- ||competitive politics and electoral change||4381552||Jan Sangh in Uttar Pradesh: Fluctuating Fortunes and Uncertain Future||In Uttar Pradesh the main beneficiary of the 1967 Congress Party upset was the Jan Sangh which emerged as a major party with a doubling of seats from 49 in 1962 to 98 in 1967. Its votes, too, went up by more than 30 per cent over the 1962 election. Consequently, the party activists as well as the general electorate started building up expectations that the Jan Sangh may soon provide a viable alternative to the Congress Party in the State. However, in the 1969 mid-term poll the Jan Sangh suffered a serious and sudden setback which raised doubts about its appeal and popularity, and its organisational base in the State. This paper attempts to investigate and highlight some of the salient factors that led to the rapid growth of the Jan Sangh in UP till 1967 and its steep decline in 1969. The author's analysis shows that the Jan Sangh has lacked stable support in UP and has failed to entrench itself in any firm manner. The symptoms of its decline were there all along and were only magnified in the 1969 election. Without retaining its old seats the party was scattering its energies each time in building new contacts and raising new slogans to capture new seats. As the party faces a new election, it has again evolved a new electoral strategy. Its past record, however, gives no basis for predicting the outcome of such a strategy. A party of fluctuating fortunes, the Jan Sangh in UP has an uncertain future.||V. B. Singh
06/3/1971- ||------||4381692||Ides of March||-------------------------------------||
20/3/1971- ||markets||4381753||No Bull Campaign till Budget||-------------------------------------||Nishtar
04/9/1971- ||capital view||4382462||The Touring Season||-------------------------------------||Romesh Thapar
1/1/1971- ||from our correspondents||4381529||Confused Confrontation||-------------------------------------||Mohit Sen
20/2/1971- ||from our correspondents||4381638||Perils of Superstition||-------------------------------------||
10/7/1971- ||markets||4382264||Depressed because of Refugees||-------------------------------------||Nishtar
01/5/1971- ||business||4381926||Living with Price Control||-------------------------------------||
27/11/1971- ||from our correspondents||4382790||Confusion and Contradictions||-------------------------------------||
29/5/1971- ||from our correspondents||4382050||Slow Strangulation of Railways||-------------------------------------||
04/9/1971- ||------||4382456||Soviet Gains||-------------------------------------||
16/10/1971- ||business||4382649||Cost of Delay||-------------------------------------||
13/11/1971- ||------||4382726||Concentration on Each Other||-------------------------------------||
26/6/1971- ||review of agriculture, june 1971||4382200||Size of Farm and Productivity||This paper seeks to investigate the relationship between size of farm and yield per acre. Like other efforts in this direction so far, it uses data from the Farm Management Studies. But whereas the earlier studies have used aggregated data for different size-groups of farms, the present exercise uses data for individual farms. Further, in order to study the relationship between productivity and size of farms in the context of the new trends developing in Indian agriculture, the study is confined to IADP districts. [The author is grateful to H Laxminarayan, A Majid and P V G K Rao for their constant encouragement, comments and suggestions.]||Usha Rani
25/12/1971- ||business||4382897||In Aid of Non-Banking||-------------------------------------||
13/11/1971- ||------||4382724||Time for Cool||-------------------------------------||
1/1/1971- ||off the record||4381522||Guarding the Guardians||-------------------------------------||
09/10/1971- ||------||4382619||Companies: Aggressive Rayon||-------------------------------------||Hansavivek
11/12/1971- ||from our correspondents||4382854||Chile and the Lessons of Legal Socialism||-------------------------------------||Pradip Krishen
26/6/1971- ||markets||4382187||Mixed Fare||-------------------------------------||
