15/9/1973- ||special articles||4363023||Structure of Liner Shipping Freight Market in India: III: Preservation of Markets||A shipping conference is an agreement among shipping companies operating liner services for the purpose of regulating and restraining competition. The need for a conference arises from the fact that the liner shipping market is characterised by an excess of tonnage. In such a situation unrestrained competition among shipping lines could lead to rate wars, to the detriment of the lines as well as shippers. This is the last of a series of three articles on the structure of the liner shipping freight market in India. It examines the conferences' methods of controlling competition. The subject is treated in two parts: the attempts made by conferences to protect their market from outside competition; and the efforts of individual lines in a conference to preserve or expand their shares of the conference trade.||Jeroo Kurus Coyaji
15/12/1973- ||capital view||4363271||Economic Yoga||-------------------------------------||Romesh Thapar
13/1/1973- ||------||4362237||Reinforcing Rank||-------------------------------------||
21/7/1973- ||from the chair||4362874||The Indian Hotels Company Limited||-------------------------------------||J. R. D. Tata
08/9/1973- ||------||4362992||To Each According to His Weight||-------------------------------------||
28/4/1973- ||from our correspondents||4362575||Come with the Wind||-------------------------------------||
10/11/1973- ||from our correspondents||4363171||Learning the Hard Way||-------------------------------------||
12/5/1973- ||special articles||4362630||Production Relations: Achilles' Heel of Indian Planning||Planning in India has been viewed mainly in terms of investment planning. This emphasis on investment planning can be traced to the influence of the long-period theories of development which entirely overlook the significance of much more essential factors than the level of investment. Increase in the supply of the means of production and savings is obviously an important factor in explaining the course of economic history through centuries, but its significance is completely overshadowed by the importance of changing production relations. It is the failure to assess the importance of the production relations aspect of economic dynamics that is, by and large, responsible for the Indian plans achieving so little. This article analyses this aspect of Indian economic development in the light of facts collected in three districts of Bihar. The analysis indicates that, unless the existing semi-feudal institutional set-up is replaced by a higher stage of production relations, any attempt at investment planning in areas and sectors where a semi-feudal institutional set-up exists-the agricultural sector, for instance-will be an exercise in futility. It is only when institutional changes have taken place that the decks will be cleared for investment planning.||Pradhan H. Prasad
24/2/1973- ||review of management, february 1973||4362360||Employers' Organisations in India: Structure of Central Bodies||Employers' organisations in India broadly cluster around the Federation of Indian Chambers of Commerce and Industry (FICCI) and the All-India Organisation of Employers (AIOE), on the one hand, and around the Associated Chambers of Commerce and Industry (ACCI) and the Employers' Federation of India (EFI), on the other. This paper attempts a description of the organisational structure of the two central organisations of employers, viz, AIOE and EFI The description shows that both these apex employers' organisations are not organised in a way as to render service to their members in the field of industrial relations. They do not have well organised secretariats or specialists. They are organised in such a way as only to elicit response from members to various measures taken by the government in the field of industrial relations, and to participate as the representatives of Indian employers in the various industrial relations bodies functioning at the national and international levels.||K. C. Alexander
02/6/1973- ||from our correspondents||4362685||Murder to Order||-------------------------------------||N. K. Singh
20/1/1973- ||from our correspondents||4362268||Approach to the Fifth Plan: Less to It than Meets the Eye||-------------------------------------||
28/4/1973- ||from our correspondents||4362577||When Gandhians Fall Out||-------------------------------------||
1/2/1973- ||issues in planning||4362307||On Deterring Undervaluation of Property||Correct valuation of property is a pre-requisite for the effective enforcement of not only those taxes for which property directly forms the tax base, but also the income tax. Apart from the fact that, for various types of properties, capital values are used to estimate the income accruing from their ownership, correct valuation of property prevents people from using property as a store of undeclared income. The government has recently taken appropriate legislative action to assume, as recommended by the Wanchoo Committee, powers to acquire properties undervalued at the time of sale. This paper raises the question whether the new legislation would effectively prevent undervaluation of property. Since examination of this question does not lead to a very reassuring conclusion, the authors go on to ask what other measure can be thought of to complement the new legislation. Two suggestions are examined in this context: one, that the government should assume not just the power but the obligation to acquire all undervalued property and, the other, that the government should extend the new right of pre-emption linked to understatement of property value under the new legislation to virtually everyone in the community.||I. S. Gulati,T. N. Krishnan
09/6/1973- ||from our correspondents||4362709||Where Has the Money Gone?||-------------------------------------||
