26/2/1977- ||review of management, february 1977||4365350||New Issue Market and Company Finance||This paper aims to examine the role of the new issue market [NIM] in India. Section I of the paper sketches the methodology and scope of the enquiry. Section II attempts to present the overall role of, and trends in, the funds raised from the NIM vis-a-vis corporate financing. Sections III and IV enquire into the differences in the role of the NIM by size of firms and their group association. Section V explores how the use of the NIM is influenced by the rate of growth. Sections VI and VII are concerned with industry and age differences in relation to NIM. Section VIII contains the concluding observations.||M. Y. Khan
2/7/1977- ||------||41497061||Tilt for Status Quo?||-------------------------------------||
26/11/1977- ||the fourth estate||4366127||Undoing Samachar||-------------------------------------||Nireekshak
23/7/1977- ||special articles||4365800||Money Supply Analysis||-------------------------------------||K. Srinivasa Rao
05/3/1977- ||capital view||4365368||The 'Hawa' Is Continental||-------------------------------------||Romesh Thapar
26/2/1977- ||------||4365333||Emergency and the Poor||-------------------------------------||
17/12/1977- ||capital view||4366194||The Plot Line...||-------------------------------------||Romesh Thapar
08/1/1977- ||------||4365221||Spectre of Imports||-------------------------------------||
28/5/1977- ||------||4365617||State Elections||-------------------------------------||
30/4/1977- ||------||4365526||Aid, Aider, Aided||-------------------------------------||
28/5/1977- ||business||4365624||Change of Fortunes||-------------------------------------||
12/3/1977- ||------||4365381||Plan Outlay: Illusory Rise||-------------------------------------||
04/6/1977- ||------||4365651||Companies: Export-Linked Expansion||-------------------------------------||Hansavivek
09/7/1977- ||from our correspondents||4365742||Fight for Maratha Support||-------------------------------------||
26/2/1977- ||from our correspondents||4365346||Focus on Cities||-------------------------------------||
16/4/1977- ||from our correspondents||4365498||Trade Union Scene: Past and Future||-------------------------------------||E. A. Ramaswamy
12/3/1977- ||------||4365384||Clippings||-------------------------------------||
08/10/1977- ||------||4365992||Which Marga in Sri Lanka?||-------------------------------------||
14/5/1977- ||special articles||4365592||Agricultural Growth and Rural Real Wages: A Reply||-------------------------------------||Deepak Lal
09/7/1977- ||from our correspondents||4365741||Talking Points, Not Policies||-------------------------------------||B. M.
08/10/1977- ||------||4365988||From Bad to Worse||-------------------------------------||
19/11/1977- ||from our correspondents||4366097||Groping towards Liberalisation||-------------------------------------||Brahmanand Mishra
10/12/1977- ||special articles||4366180||Illegal Transactions in External Trade and Payments in India: An Empirical Study||Using the partner-country data comparison technique to detect faked invoicing of imports and exports, the author finds that during the period 1961 to 1971 (i) There was a greater tendency to underinvoice imports than to overinvoice them. The extent of underinvoicing during the period under study varied from $ 54 to $ 332 million. High rates of import duty which exceeded the premium on foreign exchange in the illegal exchange market were the primary reason for the emergence of the phenomenon of underinvoicing of imports. (ii) The tendency to underinvoice exports was substantially more than that to overinvoice them. The magnitude of underinvoicing of exports during this period varied between $ 67 and $ 167 million. The author's estimates of the extent of smuggling of goods show an increase from Rs 51 crores in 1961 to Rs 450 crores in 1974. The ratio of goods smuggled to official imports thus rose from 5 per cent to 10 per cent during this period. The total demand for illegal foreign exchange on account of smuggling of goods and import/export invoice manipulations showed an increase from Rs 96 crores in 1962 to Rs 720 crores in 1974. The emergence of the regime of floating exchange rates has led to a substantial reduction of overvaluation of the Indian rupee and the premium on foreign exchange in the illegal market. The premium which had increased from 50 per cent in 1961-62 to 99 per cent in 1965-66, came down to 48 per cent in 1966-67 and further to 14 per cent in 1973-74.||Satyendra S. Nayak
26/2/1977- ||from our correspondents||4365343||Election-Eve Munificence||-------------------------------------||B. M.
26/11/1977- ||------||4366107||Changing Labels||-------------------------------------||
02/4/1977- ||------||4365446||Shifting Alliances||-------------------------------------||Mohan Ram
16/7/1977- ||from our correspondents||4365764||Industrial Policy Confusions||-------------------------------------||B. M.
09/7/1977- ||------||4365736||Built-In Alibi for Murder||-------------------------------------||
26/2/1977- ||from our correspondents||4365356||Problems of Reconstruction||-------------------------------------||S. S. Bhattacharya
07/5/1977- ||------||4365551||Unwarranted Price Rise||-------------------------------------||
09/7/1977- ||from our correspondents||4365744||Focus or Diffusion?||-------------------------------------||
28/5/1977- ||------||4365618||Nothing Succeeds like Failure||-------------------------------------||
26/3/1977- ||from our correspondents||4365430||Summary Rejection||-------------------------------------||
26/3/1977- ||the fourth estate||4365427||Villains and Heroes||-------------------------------------||Nireekshak
22/1/1977- ||from our correspondents||4365273||New Economic Zones||-------------------------------------||Harish Chandola
19/11/1977- ||------||4366087||Janata Shows the Way||-------------------------------------||
2/7/1977- ||from our correspondents||41497070||Futility of Contract Labour Act||-------------------------------------||Timir Basa
05/11/1977-12/11/1977||capital view||4366069||What Goes on in the Home Ministry?||-------------------------------------||Romesh Thapar
11/6/1977- ||from our correspondents||4365675||Rich Peasantry to the Fore||-------------------------------------||
16/7/1977- ||from our correspondents||4365765||Cost of Higher Exemption Level||-------------------------------------||
31/12/1977- ||from our correspondents||4366243||Uses of Uranium||-------------------------------------||Rajaram Panda
02/4/1977- ||from our correspondents||4365455||Different Alignment for Assembly Election?||-------------------------------------||
31/12/1977- ||review of agriculture, december 1977||4366245||Changes in Land Relations in West Bengal||Notwithstanding the ever-increasing stringency of measures to enforce the ceiling on landownership and to secure the protection of bargadars' right to cultivate, the rural economy of West Bengal has turned out to be completely different from what the legislators had envisaged. Despite a decrease in the extent of landlessness, the weightage of small owner-operators operating the bottom 20 per cent of land has decreased from 69 per cent to 57 per cent between 1954-55 and 1971-72; while that of the large owner-operators operating the top 20 per cent of area has increased from 4 per cent to 6 per cent. In the bottom group of holdings, those cultivated by landless cultivators fell from 28 per cent in 1954-55 to 4 per cent in 1971-72. On the other hand, the percentage of entirely leased-in holdings in the top groups has increased from 1 to 3 per cent. There seems to have been a change in the preference of the lessors in favour of large rather than small operators. The pressure of population on land continues nevertheless. But this has resulted not in an increase of landless bargadars but in an alarming increase of rural proletariat employed as casual labourers or not employed at all. And this is despite (or perhaps because of) the technological development that has taken place during this period.||Kalyan Dutt
24/9/1977- ||capital view||4365945||Looking for Political Coherence||-------------------------------------||Romesh Thapar
18/6/1977- ||from our correspondents||4365694||The Belchchi Killings||-------------------------------------||Shashi Bhushan
1/8/1977- ||political economy of energy policy||4365858||Technological Alternatives and the Indian Energy Crisis||In a country like India where income inequalities are also reflected as inequalities of per capita energy consumption, the new energy crisis mainly threatens the consumption-oriented lifestyle of an energy-affluent elite and has far less impact on the rural poor. These, condemned to survive on 'zero' private cost non-commercial energy, have been in the grip of a grave energy crisis from a period long before the 'new' energy crisis began. The energy-calamity that has overtaken the elite provides an excellent opportunity to review the whole Indian energy situation and seek alternatives compatible with the resource constraints, which would result in a more equitable pattern of energy consumption. This paper traces the origins of the recent energy crisis and presents a detailed diagnosis. Apart from detailed suggestions regarding the conservation of oil as well as more intensive use of coal, hydel power and non-commercial energy sources, the study specifically examines the possibilities and limitations of three main alternative energy sources: solar energy, bio-gas and wind energy. There is also a brief discussion of possible improvements in the utilisation of human and animal energies. Some specific and detailed suggestions regarding the distribution of available energy among the urban and rural population are made. It is calculated that an increase by 4.4 times of the total commercial and non-commercial energy production in 1971 in India will ensure the entire Indian population a reasonable energy consumption. This increase must be reached by a strategy of discriminatory and biased increases, so that the energy consumption of the deprived and affluent sections is increased by factors of 5 and 2.5 respectively. Such increases require a mix of decentralised and centralised energy production, the former being more relevant to the rural areas. The study concludes that the energy crisis of the affluent is not a people's problem and the real energy crisis experienced by the poor can be tackled with alternative approaches.||Amulya Kumar N. Reddy,K. Krishna Prasad
19/3/1977- ||------||4365402||Bengal Shows the Way?||-------------------------------------||
29/1/1977- ||from our correspondents||4365293||Joint Sector: Assessment of SIDCs' Role||-------------------------------------||R. H. Patil
22/1/1977- ||------||4365267||In Due Season||-------------------------------------||Kapurusa
05/3/1977- ||------||4365367||In Due Season||-------------------------------------||Kapurusa
10/12/1977- ||------||4366160||Not for Reasons of State||-------------------------------------||
14/5/1977- ||------||4365570||Soviet Union, Janata and CPI||-------------------------------------||
17/9/1977- ||------||4365927||Companies: Higher Profits despite Breaks||-------------------------------------||Hansavivek
30/4/1977- ||lest we forget||4365531||Emergency in an Academic Ghetto||-------------------------------------||
31/12/1977- ||perspectives||4366234||Economic Realities and the Future of Indian Business||-------------------------------------||Daniel Thorner
19/3/1977- ||special articles||4365415||Rationing in a Peri-Urban Community: Case Study of a Squatter Habitat||This paper, a case study of a squatter settlement just outside Trivandrum, analyses the way the system of informal rationing that exists in Kerala actually operates in this peri-urban community. The major finding of this study is that there is a widespread practice of mortgaging ration cards in the community; that such mortages are made mostly by households belonging to scheduled castes; that among the households covered by the study, the ones with the lowest per capita daily consumption of cereals or cereal substitutes are precisely those that mortgage their ration cards.||Leela Gulati
26/2/1977- ||from our correspondents||4365357||Mirror Images||-------------------------------------||M. S. Dahiya
04/6/1977- ||from our correspondents||4365655||The Law of the Sea Conference||-------------------------------------||J. P. Anand
27/8/1977- ||from our correspondents||4365871||Tight-Rope Walking||-------------------------------------||
05/3/1977- ||------||4365366||Clippings||-------------------------------------||
17/9/1977- ||special articles||4365936||Checking Inflation: A Note||-------------------------------------||Rajendra Kumar
29/1/1977- ||------||4365282||Janata Party Portents||-------------------------------------||Mohan Ram
02/4/1977- ||special article||4365461||Corporate Investment in 1977: A Forecast||There has been a substantial pick-up in private corporate investment in 1976 as compared to 1975. Corporate investment in 1977 would be higher than in 1976. It is likely to reach in nominal terms the level attained in 1974, which is the best year so far. However, in real terms the 1974 peak will not be reached. This study entailed an analysis of all the projects sanctioned by the all-India term lending institutions. Capital expenditures incurred on all projects sanctioned by these institutions amounted to Rs 530 crores in 1975. But during 1976 these expenditures are likely to be Rs 637 crores, thus indicating a pick-up in corporate investment. Since as of now the capital expenditures likely to be incurred in 1977 are of the order of Rs 512 crores there is every possibility that corporate investment in 1977 would exceed the level reached in 1976. A higher level of corporate investment in current prices does not, however, indicate a rise in investment in real terms.||C. Rangarajan
07/5/1977- ||special articles||4365567||Poverty, Politics and Development: A Comment||-------------------------------------||Arun Majumder
1/2/1977- ||the elections||4365318||No Walk-Over||-------------------------------------||
29/10/1977- ||capital view||4366048||Dope-Peddling||-------------------------------------||Romesh Thapar
29/10/1977- ||special articles||4366060||Structure of 'Interdependence' in Indian Industry: Electrical Equipment Industry: A Case Study||This paper seeks to delineate the structure of interdependence among the Government of India, Indian private enterprise and foreign collaboration in the electrical equipment industry. Most studies of foreign collaboration in India have been based on a quantitative approach. This paper tries instead to answer the question: "In what way, through the process of foreign collaboration, are the various interests acting in Indian industry, depending on one another, trying to bring about a viable situation?"||Subhendu Dasgupta
06/8/1977- ||------||4365827||Not the Whole Truth||-------------------------------------||
08/1/1977- ||------||4365225||In Due Season||-------------------------------------||Kapurusa
24/12/1977- ||from our correspondents||4366222||Ugly Side of the Miracle||-------------------------------------||
26/3/1977- ||capital view||4365425||The Peasants Show Their Muscle||-------------------------------------||Romesh Thapar
1/2/1977- ||the elections||4365315||The Key Issue||-------------------------------------||Mohan Ram
17/12/1977- ||special articles||4366204||The Trilateral Commission and the Carter Administration||Established by David Rockefeller in 1973, the Trilateral Commission brought together leaders in finance, business and politics from the advanced industrial world comprising North America, Europe and Japan. The stated purpose of the Commission is "to develop practical proposals for joint action" on issues such as energy, relations with the third world, international finance and governability at home. Carter was a member since its inception; so was Walter Mondale, Carter's Vice-President. Zbigniew Brzezinski, Carter's National Security Advisor, was its Director, and Cyrus Vance, the Secretary of State, Harold Brown, the Secretary of Defence and W Michael Blumenthal, Secretary of Trasury were members. At least nine other members of the Commission have been appointed to high office, including Paul Warnke, recently confirmed to head the US Arms Control and Disarmament Agency, and Andrew Young, US Representative at the United Nations. Clearly, members of the Trilateral Commission dominate the Executive branch of the United States government. What does this mean? First of all, what is the Trilateral Commission? What is the nature of its link with Carter, and with his administration? What positions has the Commission taken on international and domestic issues? How likely is Carter to adhere to these policies, and how much does his Trilateral connection tell us about his future actions? This article attempts to answer some of these questions.||Jay Peterzell
15/10/1977- ||------||4366011||Politicking All Round||-------------------------------------||
12/3/1977- ||special articles||4365396||Emergence of Permanent Emergency in India||This paper argues that the most important causes and consequences of 'Emergency Rule' in India should be sought and can be found in the depending accumulation crisis in Indian industry (and in the capitalist world generally) since the mid-1960s and in the measures taken by Indian (and foreign) capital to confront this crisis. The suggestion is that the actions of the government of India represent essentially the political-economic needs and interests of big industrial capital in what is primarily an inter-class struggle and that Indira Gandhi's intra-class conflict with her rivals turns on the secondary question of who will execute essentially the same capitalist policy and how. Any government of capitalist India that emerges from the present political crisis will necessarily (have to) pursue the same political-economic policy for the foreseeable future of the permanent Emergency.||Andre Gunder Frank
30/7/1977- ||special articles||4365825||New Economic Policy: Shibboleth or Programme of Action?||As in the past, what is conspicuous by its absence in recent statements of economic policy is the supporting conceptual framework defining the role of different sectors of industries, the projected pattern of resource allocation and the composition of output resulting therefrom, and the plan of action in terms of the organisational and institutional framework required for implementation of the policies. This article tries, against this background, to raise some issues in regard to industrial policy and the related aspect of rural development as an alternative source of gainful employment.||
27/8/1977- ||------||4365868||Companies: Continuing Prosperity||-------------------------------------||Hansavivek
03/9/1977- ||------||4365891||Last Gambit||-------------------------------------||
18/6/1977- ||------||4365685||In the Same Mould||-------------------------------------||
25/6/1977- ||------||4365715||Companies: Windfall for Synthetics||-------------------------------------||Hansavivek
03/12/1977- ||from our correspondents||4366150||Dalli-Rajahara Workers' Continuing Struggle||-------------------------------------||N. K. Singh
23/7/1977- ||------||4365776||Fanciful?||-------------------------------------||
01/10/1977- ||special articles||4365980||Does Samachar Need Restructuring? A Critique of Kuldip Nayar Committee's Report||The Kuldip Nayar Committee's report provides no help in coming to useful decisions about the future of Samachar. Contrary to the Committee's basic premise, competition does not ensure freedom, nor even efficiency. Besides, the financial resources that can be organised cannot sustain three different agencies as recommended by the Committee. The Committee has failed to go deeply into the desirability of ensuring financial independence to the news agencies. On the contrary, it suggests greater reliance on government funds. The development of language services must receive due attention and government subsidy for this purpose, for a limited period and on a tapering basis, is necessary and in order. The continued membership of the non-aligned newspool is of no benefit. If participation in the pool is found necessary for foreign policy reasons, then the responsibility for this should be vested in the government.||C. G. K. Reddy
22/10/1977- ||from our correspondents||4366033||Oppression of Scheduled Castes||-------------------------------------||N. K. Singh
