27/6/1987- ||------||4377140||Companies: Acquiring Lab Base||-------------------------------------||Hansavivek
31/10/1987- ||reports||4377656||Government Helping Rich Farmers Profit from Drought||By keeping foodgrain releases for the food-for-work programme to the minimum, by encouraging export of farm commodities and by giving in to pressures to raise procurement prices, the government is actively helping rich farmers to make the most of the opportunity for making additional profits provided by the drought.||B. M.
03/10/1987- ||business||4377561||Asking for More Concessions||-------------------------------------||
02/5/1987- ||------||4376974||Full Circle||-------------------------------------||
14/3/1987- ||reports||4376786||'Megahazards': The New Threat||-------------------------------------||A. Sushil Kumar
29/8/1987- ||------||4377421||Calcutta Diary||-------------------------------------||A. M.
25/7/1987- ||------||4377260||Painful Journey||-------------------------------------||
10/10/1987- ||business||4377589||Battle of Statistics||-------------------------------------||
01/8/1987- ||special articles||4377312||Towards a Theory of Transformation of Semi-Feudal Agriculture||Any attempt to theorise about issues related to the transformation of a sector of the economy in third world countries involves analysis of antagonistic contradictions at two levels. While the main global contradiction remains between the imperialists and the third world countries, those who want to struggle on the side of progressive forces to hasten the process of social transformation cannot afford to neglect the dialectics of the part. It is in this context that the analysis and understanding of the 'semi-feudal mode of production' in Indian agriculture assumes importance. Taking the case of Bihar, the author argues, with the help of a theoretical model, that in Bihar's agriculture the bulk of surplus value is even today appropriated from the direct producers through tenancy (specially sharecropping tenancy), usury and labour process (using non-free labour). Semi-feudal institutions operate as a drag on development and even primitive accumulation is not in evidence.||Pradhan H. Prasad
29/8/1987- ||reports||4377441||Mexican Economy: No Way out of Dependence||The Bank of Mexico's latest Annual Report brings out how deeply trapped in perpetual and hopeless dependence are countries like Mexico, countries that have sought economic growth through foreign investment, foreign technology and finally foreign debt.||
05/12/1987- ||------||4377805||Familiar Pattern||-------------------------------------||
05/9/1987-12/9/1987||special articles||4377483||Changes in Level of Living in Rural West Bengal: Housing Conditions||This, the third of a series of papers reporting on the results of a resurvey of villages and households in Bardhaman, Birbhum and Purulia districts, reports on changes in housing conditions in rural West Bengal between 1972-73 and 1985-86. The first two papers in the series described changes in private and social consumption.||Nikhilesh Bhattacharya,Manabendu Chattopadhyay,Ashok Rudra
28/2/1987- ||------||4376724||In the Capital Market||-------------------------------------||
08/8/1987- ||reports||4377336||Emergence of a Sri Lankan Sheikh Mujib||Sheikh Mujib's India policy became, in a short span of a couple of years, unpalatable to the east Bengali middle class. Nurtured on a long tradition of India baiting the average east Bengali could not attune himself to the new relationship with India. Jayewardene is likely for sometime to be identified in Sinhalese minds as India's man, just as Sheikh Mujib was in Bangladesh. This can do no good to him or even to India.||Anil Nauriya
14/11/1987- ||business||4377714||Needed a New Marketing Strategy||-------------------------------------||
