02/12/1995- ||------||4403500||Current Statistics||-------------------------------------||EPW Research Foundation
28/10/1995- ||------||4403351||Political Stalemate||-------------------------------------||
11/11/1995- ||companies||4403413||Higher Profits||-------------------------------------||
05/8/1995-12/8/1995||special articles||4403080||Kerala: Towards a New Agenda||The experience of Kerala shows that the conditions of life of the people can be improved even at low levels of economic development through appropriate public action for social provisioning and redistribution. The mass of Indian people do not have to necessarily wait for an indefinite future for the hump of economic growth to be crossed for schooling, house sites, primary health care, food at fair prices and so on. The contemporary crisis that Kerala faces, nevertheless, underlines the limitations of what can be achieved within the present system. It also shows that in the absence of economic growth it is difficult to sustain, much less expand, welfare gains. The challenge is to enlist the increased political consciousness and organised strength of the people as an instrument to accelerate economic growth in a democratic fashion. Correctives to the various distortions in the social and cultural areas are also required. From the dialogue at last year's International Congress on Kerala Studies certain broad perspectives emerged, though some important questions were indeed left open and unconcluded.||Thomas Isaac T. M.,Michael Tharakan P. K.
29/7/1995- ||companies||4403035||Opportunities in Power Sector||-------------------------------------||
09/12/1995- ||commentary||4403534||'Invisible' Workers Reach International Heights||The growing phenomenon of home-based workers has forced the International Labour Organisation to call for a convention for Homeworkers, the first meeting of which was held recently.||Renana Jhabvala
17/6/1995- ||------||4402862||Dark Spots||-------------------------------------||
28/1/1995- ||companies||4402309||Rise in Exports||-------------------------------------||
18/2/1995-25/2/1995||review of industry and management, february 1995||4402407||Technological Implications of Structural Adjustment: Case of India||As a result of the Structural Adjustment Programme adopted by the Indian government in July 1991, India now operates a virtual 'open door' policy towards foreign investment and technology in most areas of industry and infrastructure. The new policy regime is likely to intensify and accelerate the process of technological polarisation between the large and small scale sectors, and high tech imports will impede the design and innovation capability of in-house R and D units. An educated and skilled workforce is essential to economic development, and for this a new public policy for a radical transformation of the education system is needed.||M. R. Bhagavan
16/12/1995- ||commentary||4403560||Social Clause: Is Its Opposition Justified?||While the combined opposition of the developing countries to the linking of the social clause with international trade has had the effect of deferring its imposition, it is a matter of concern that these governments have done little to implement the ILO conventions safeguarding the rights of labour.||Sharit K. Bhowmik
09/9/1995- ||------||4403174||In Decline||-------------------------------------||
