1/11/2014- ||commentary||24480985||A Development Manifesto||-------------------------------------||RAMASWAMY R IYER
2/8/2014- ||------||24480437||FROM 50 YEARS AGO||-------------------------------------||
23/8/2014- ||notes||24480917||An Identity Card on the Wall: Identities in Flux and Ethics of Technology Change||This article raises and deals with a set of questions and reflections on identity construction, projection and interpretation of a particular context in rural India. It revolves around the story of V Venkataswamy, a cotton handloom weaver in Adilabad in Telangana. It is also based on a particular narrative about this individual and a photograph of an identity he projected of himself. The article pleads for an engagement with the ethics involved in technology change and the impact it is having on millions of people across the length and breadth of the country.||PANKAJ SEKHSARIA
5/4/2014- ||commentary||24479375||From "Bhagidari to Mohalla Sabhas" in Delhi: When Participation Trumps Governance||A look at the implications of mohalla sabhas, the institution proposed by the Aam Aadmi Party, for participatory urban governance, tracing and analysing the twists and turns that different models of participatory governance have undergone in Delhi over the past two decades.||ADITYA MOHANTY
1/12/2014- ||notes||24481056||Open Defecation in India||This study identifies 11 issues that have inhibited the spread of a comprehensive sanitation programme. It emphasises the complexity of issues and helps avoid the facile targeting of the poor as deficient citizens, whose latrine practices are viewed as a "primitive" source of social disorder and disease. Recognition that many factors are involved and interrelated might also serve as a warning against patchwork policies that disregard local context in their haste to proclaim another district an "open defecation free zone".||ASSA DORON,ROBIN JEFFREY
24/5/2014- ||economic notes||24479557||ASI Results for 2011-12: A More Positive View of the Industrial Scene||The latest Annual Survey of Industries report, released for 2011-12, shows a high growth in the value of output, gross value added as well as employment generation. The ASI data suggests that over the past three decades Indian industry has spread to rural areas, creating more value and jobs than in industry located in urban areas. Industry is spending a smaller proportion of value added on interest payments than it did in the earlier decades. However, compared to the 1980s, the share of profit in gross value added has increased significantly, while factory-floor workers' emoluments as a share of total earnings have reduced.||SHRUTI J PANDEY,S L SHETTY
13/12/2014- ||postscript||24481183||Take Back the City: The "Why Loiter?" campaign attempts to take over a small part of public space so that women, like all others, can seek fun and pleasure in the streets of a vibrant urbanscape||-------------------------------------||SAMEERA KHAN
24/5/2014- ||agenda for the economy||24479548||Economic Challenges to the New Government: A Policy Proposal||India faces two distinct uncertainties in the short run: the nature of the electoral outcome, and the reduction in the United States' bond buying programme. The potential shocks could cause short-term volatility, though the economy now seems better placed than a year ago to face the challenge. Yet, stabilisation does not ensure economic revival. Stepping up investment demand, without jeopardising the current account balance and increasing external debt would be the key to sustainable growth. As the private corporate sector is mired in debt, a pragmatic increase in public investment by revisiting fical rules is the only credible option. A complete pass-through of fuel prices to domestic consumers would encourage investment in the industrial and energy sectors, while an easy credit for agriculture and small-scale industry is likely to augment wage goods output to restrain the rise in consumer prices.||R NAGARAJ
7/6/2014- ||special article||24479611||Public Transport for Indian Urban Agglomerations: A Strong Case for Surface Rail||Central, state and local governments have been investing in public transport infrastructure, especially on metro rail and bus rapid transit systems. However, surface rail-based transit systems, which are ubiquitous and cost-effective in India, have not received the same attention and investment. This paper assesses the viability of surface rail as an urban transit option, and looks at the conditions that would enable its integration into urban transit systems, while simultaneously meeting the needs of long-distance traffic.||M RAVIBABU,V PHANI SREE
25/1/2014- ||------||24479410||FROM 50 YEARS AGO||-------------------------------------||
5/4/2014- ||postscript||24479399||LAST LINES||-------------------------------------||
