24-12-2015||satire||---------||A Micro-primer on Corruption||If you are caught in the act, just deny it.||
24-12-2015||from 50 years ago||---------||From 50 Years Ago : The ‘American’ Asian Bank||Vol XVII, No 52, decEMBER 25, 1965||
24-12-2015||commentary||---------||One-Rank-One-Pension Logjam : Is There a Way Out?||The continuing stand off between the government and retired soldiers over One-Rank-One-Pension has engendered distrust between the civilian bureaucracy and the military. While the ex-servicemen have been rigid on all their demands, including ones that defy sound reasoning, the manner in which the bureaucracy continues to quibble on minor issues grates on the military's sense of honour and dignity.||Srinath Raghavan
24-12-2015||commentary||---------||Challenges Facing New Education Policy in India||The New Education Policy on the anvil should encourage academic talent and innovation to make the system of higher education more responsive to the needs of various stakeholders instead of just attempting to create a uniform standardised structure. To ensure this, political and bureaucratic interference in educational institutions, which has steadily eroded the quality of higher education in India, will have to be minimised, academic autonomy strengthened and diverse opinions taken into account while building a new policy framework.||Arun Kumar
24-12-2015||commentary||---------||Hubris of Propaganda on Kashmir||Yet another Prime Minister has tried to "solve" the Kashmir problem by throwing money at it. Security experts, in parallel, have started talking about the infl uence of the Islamic State in radicalising Kashmir's youth. What this indicates is that the Indian establishment is unwilling to learn from its own past mistakes and remains trapped in the hubris of its own propaganda.||Gautam Navlakha
24-12-2015||commentary||---------||Trust-based Approach for Local Bodies : Fourteenth Finance Commission||The Fourteenth Finance Commission's trust-based approach has made state finance commission reports central to its recommendations on local governments. Given that states have been reluctant towards empowering local governments, only time can tell how states and local bodies respond.||D Ravindra Prasad,V Srinivas Chary
24-12-2015||commentary||---------||Reviving the Congress : Possible Pathways||The change in governments from time to time, as mandated by the logic of democratic politics, is the best way to assure roughly fair representation for much of the population. This article argues that, at the all-India level, despite its much diminished stature, only the Indian National Congress has the necessary organisational strength and resources to challenge the Bharatiya Janata Party. It presents a few suggestions for the revival of the Congress Party.||Sujay Ghosh
24-12-2015||commentary||---------||Justice versus Emancipation : A Feminist Evaluation||The recent intervention by the Supreme Court to allow an abortion beyond the 20-week limit in extenuating circumstances is an important milestone in the fi ght for women's rights over their bodies. It is a victory for women's emancipation from the narrow purview of the law, which in its bid to uphold legal justice, compromises social justice. The judgment also strengthens the case for an overhaul of the Medical Termination of Pregnancy Act, which has been long overdue.||Manalika Borgohain
24-12-2015||insight||---------||Coming Back to Normal? : Census 2011 and Sex Ratios in India||An analysis of data from Censuses 2001 and 2011 shows that despite the increase in overall population sex ratio in this period, the 0-6 sex ratio and 0-1 sex ratio have continued to decline. This suggests that there is no let-up in daughter defi cit. However, one positive factor is that the north-western states which have had a long history of high levels of daughter defi cit have shown an increase in the 0-1 sex ratio. The reasons for this need to be determined. Another positive aspect is that daughter defi cit seems to be lower amongst the younger cohort of currently married women; it will be interesting to see whether this persists as the cohort ages.||S Irudaya Rajan,Sharada Srinivasan,Arjun S Bedi
24-12-2015||review of rural affairs||---------||Rural Elites and the Limits of Scheduled Caste Assertiveness in Rural Malwa, Punjab :||The decline of caste-based territorial dominance is widely reported to have given Scheduled Castes more autonomy, but also allowed them more space for political assertion. This paper, drawing on ethnographic fieldwork in the predominantly agrarian region of Malwa in Punjab, illustrates how SCs are often loudly pressing demands upon political leaders and bureaucrats. However, the paper also illustrates how they still do not wield meaningful power in village panchayats. A wealthy class of farmers that is increasingly involved in urban business uses a combination of party connections, cash and coercion to capture and maintain power at their expense. Such farmers frequently use their political influence to bolster their business interests and to appropriate state resources such as village common lands. The evidence presented here suggests that when SCs mobilise to demand their rights, they are still careful not to challenge dominant interests.||Nicolas Martin
24-12-2015||review of rural affairs||---------||Structural Change in Bihar's Rural Economy : Findings from a Longitudinal Study||Bihar has been showing signs of emerging from stagnation and backwardness. For this to occur in full, an agrarian transformation is central in a state where urbanisation remains very low. This paper uses longitudinal household data from a sample of villages to explore changes in production relations, land and other assets, agricultural development and occupational diversification. There has been a significant change in class structure and a shift away from agricultural occupations for male workers (much less for female), but non-agricultural work is mainly outside the village and largely outside the state. Real wages have risen substantially, more than can be explained by rising agricultural productivity, migration being an important contributory factor. But the segmentation of the rural labour market has increased and local development is uneven.||Alakh N Sharma,Gerry Rodgers
