28-12-2018||comment||---------||Opportunity Lost at Katowice Climate Conference||The commitment to equity continues to elude climate change solutions.||
28-12-2018||commentary||---------||Below the Guard Rail : Transformative Change for Climate Security||The “1.5 Degree Report” from the Intergovernmental Panel on Climate Change describes scenarios and potential actions to pull the earth away from the brink of catastrophic climate change. The report’s findings are stark but it shows that there are pathways to achieve climate security. The study nevertheless repeats some common errors in framing the ways forward and does not fully explore the potential for transformative change. Some options from the literature that deserve serious consideration are discussed.||Sudhir Chella Rajan,Sujatha Byravan
27-12-2018||perspectives||---------||Adaptation Co-benefits of Development Programmes in India||Twelve major development programmes in five sectors are examined to see whether they enhance the country’s ability to adapt to the impacts of future climate change. The Indian government could leverage the existing development programmes to achieve adaptation goals if it establishes a framework for mainstreaming climate change adaptation, provides financial incentives for development programmes to integrate adaptation objectives, and builds institutional capacity to design, implement, and monitor adaptation activities.||Jaishri Srinivasan,Indu K Murthy,Tashina Esteves,Jagmohan Sharma,N H Ravindranath
20-12-2018||special articles||---------||Subsidy and Efficiency of Groundwater Use and Power Consumption in Haryana||High power subsidy, along with assured minimum support price and procurement by public agencies, has changed the cropping pattern in favour of water-intensive crops, especially paddy, in Haryana and Punjab. This has placed groundwater resources under severe stress and also increased the demand for energy for extraction of water. The continuation of high levels of power subsidy is not allowing crop diversification programmes to take off. It is argued that there is a need for redesigning this subsidy in such a way so as to encourage a sustainable cropping pattern suited to the agroclimatic conditions in the region, and save both water and energy.||Sucha Singh Gill,Kulwant Singh Nehra
14-12-2018||ht parekh finance column||---------||Beyond the Rhetoric on Climate Change||In the climate change debate, a number of industrialised governments and multilateral development organisations push for greater use of risk finance products and financial innovation in general. But, insurance is no solution to climate change because it is no solution to risks that are rising in time and correlation. It is merely a way of getting the victims of climate change to pay for it themselves and not the contributors.||Avinash Persaud
13-12-2018||perspectives||---------||Politics of Pollution : Godavari Mega Aqua Food Park||The Godavari Mega Aqua Food Park, which is expected to come up in Tundurru village in West Godavari district of Andhra Pradesh, is being resisted by the local residents. This resistance stems out of the local populace’s concerns regarding the pollution that would be caused by the upcoming factory, and its adverse effects on the health, natural resources and livelihoods of the people. The use of violent repressive measures by the government to quell the protests against the project posits the upcoming industry as a product of the state–corporate nexus, with no concern for the health, well-being or prosperity of the people it claims to serve.||P Omkar Nadh
13-12-2018||review of urban affairs||---------||From Intermittent to Continuous Water Supply : A Household-level Evaluation of Water System Reforms in Hubli–Dharwad||Employing a matched cohort research design, eight wards with intermittent water supply are compared to eight wards upgraded to continuous (24 x 7) supply in a demonstration project in Hubli–Dharwad, Karnataka, with respect to tap water quality, child health, water storage practices, and coping costs across socio-economic strata. Water consumption and waste in the intermittent zones, and the potential for scale-up of continuous supply to the entire city, are estimated. It was found that the 24 x 7 project improved water quality, did not improve overall child health, but did reduce serious waterborne illnesses in the lowest-income strata, reduced the costs of waiting, increased monthly water bills, and potentially reduced water security for some of the poorest households.||Isha Ray,Narayan Billava,Zachary Burt,John M Colford JR,and others
20-12-2018||-------||---------||Why Uttarakhand's Ecotourism Development is Being Mismanaged||Under the neo-liberal framework, with tourism as an industry there is a fear of the institution falling into the hands of the same vested interests and in Uttarakhand, it brings more threats to both the conservation and benefits of local communities from nature-based tourism.||
06-12-2018||commentary||---------||Mormugao Port Modernisation : Proceedings of an Environmental Public Hearing||The proposed modernisation and expansion of the Mormugao Port in Goa has drawn widespread criticism for its failure to seriously assess its environmental impact and lack of thought to sustainability and social costs, while raising questions on the ownership claim over the project area itself. A three-day environmental public hearing recorded the concerns and grievances of the numerous stakeholders and civil society members who stand affected by the proposed project.||Sherwyn Correia
07-12-2018||commentary||---------||To Kill a Tigress||The killing of Avni, a conflict tigress in Yavatmal, Maharashtra, who was thought to have killed several people, led to a huge controversy. The issue raises questions on the drivers of human–wildlife conflict, the destiny of tigers in a human-inhabited and -modified landscape, and whether tiger reintroductions can happen in such a scenario.||Neha Sinha
29-11-2018||review of women's studies||---------||Jinn, Floods, and Resistant Ecological Imaginaries in Kashmir||How Kashmiri women experience and narrate questions of resource sovereignty and dispossession within the context of Kashmir’s long-drawn-out military occupation, and India’s investments in mega hydroelectric dams on Kashmir’s rivers have been discussed. The devastating floods in 2014 led Kashmiris to increasingly challenge perceptions of nature or natural disasters as apolitical. Dams are an integral part of border-making processes, and gender, space, and borders are continually co-produced through militarised infrastructures. Women’s resistant imaginaries, which combine political and ecological metaphors, and rely on conceptions of jinn and other non-human agency, offer a way to rethink Kashmir beyond its securitised geographies.||Mona Bhan
23-11-2018||law and society||---------||War on Air Pollution Will Not Be Won in the Courts||Despite certain measures adopted in the last 12 months, the air pollution problem across northern India has re-emerged this winter, and only worsened after the Diwali festival. The conversations, however, continue to be dominated by Delhi, and revolve around finding quick fixes, mostly pushed by courts, without looking at the deeper, underlying problems or addressing state capacity to deal with air pollution.||Alok Prasanna Kumar
22-11-2018||insight||---------||Saving the Vishwamitri : An Ongoing Tussle between Waterfront Development and River Rejuvenation||Waterfront development projects have been promoted in the name of flood control, beautification, and urban development. However, they only replace the river’s natural riparian edge with a concrete riverfront, facilitating further encroachment on and destruction of the riverbed. The Gujarat government promulgated the Vishwamitri Riverfront Development Project as a “smart” solution to the river’s deterioration, completely ignoring environmental safeguards.||Lara Jesani
23-11-2018||discussion||---------||Crop Residue Burning : A Case for On-farm Usage of Crop Residue||A response to “Crop Residue Burning: Solutions Marred by Policy Confusion” (Sucha Singh Gill, EPW, 8 September 2018) discusses how in situ utilisation of crop residue is not only the best option, but also a feasible one, evident in the practices of organic farmers of even Haryana and Punjab, where residue burning is the most prevalent. Off-farm usage of crop residue may be better than burning as it addresses the issue of air pollution, but it is only the second-best option as it leads to soil fertility depletion.||Rajinder Chaudhary
